-0:58	marianne van tienen	しおしおっ！
11:20	春季限定のりしお風味	やべぇ・・あたまにはいってこねぇ・・・
11:20	山田エミール	ぽかーん
11:21	やまぶどう	さすがアイドルオタク
11:21	LOG	今も追ってるの？
11:21	日神巫言	坂そんなあるのか
11:21	ばどらび	日向坂は本当にギャグセンス高い子多い笑笑
11:21	あおい	こんばんは〜！🌸
11:22	焼音ニク	楠坂推すわ
11:22	あきひろこえら	ねるー、ねるらーねるれすと！
11:23	限界	もう引退しちゃったね
11:24	花吹雪	ベルベラベロみたいだ
11:24	たけどーら	キュンダンス踊って	￥200
11:25	天城久秀	楠坂４０はどうですか？
11:26	しおかの推し床フロンターレ	ここでさえぎったらまた話たりねぇとかゆーよこの子
11:27	ダイダイモン	オードリーで知ったなぁ
11:27	スパイラル	呪文じゃん
11:27	セオドル	ベムベラベロ？
11:28	チィヤ	ねらーなの
11:28	フラグクラッシャー	多すぎて難しい
11:28	山本たろう	へぇ～
11:28	お前ら_	ねるねるねるね
11:28	あのんまのんver.II	草
11:28	じぇのあ	楠坂
11:28	さささしさすさせ	比較級か
11:29	アあ	ネラー
11:29	麻雀ビギナーしょーしょん	栞桜ちゃんもそういうの作って()
11:30	Nights -O	お父さん？
11:30	rapid eye rabbit	へー
11:30	〆作	へぇ～
11:31	とろろ	草
11:31	mezzoforte	草
11:31	右目のLapis	SKE
11:31	スーパーガク	三段活用
11:32	Orpheus1221	草
11:32	shu my	草
11:32	つちふたつ	おたけって子可愛いです
11:32	ことかげ	やる？
11:33	ばどらっく	やるんかいｗ
11:33	おおくそん	ベムベラベロは草
11:33	ノカゼ	草
11:33	此処葉	え？
11:33	ひっきー	あれｗ
11:33	りんほん	…？？？
11:33	雨宮恵	草
11:33	cvector	どうぞ
11:33	メイダイン	麻雀！？
11:34	NIHO UFO	お父さんすごいな
11:34	Maha raja	えぇ・・・
11:34	ろっきー	やるのかｗ
11:34	T M	三段活用かな？
11:34	GPE	！？
11:34	ザッハトルテ。	なんでｗ
11:35	しあん	ねるーねるらーねるれすといつもあなたの最上級！長濱ねるです
11:35	まこだいあ	草
11:35	ぐぅたら	え？ｗ
11:35	ドゴザガゾ	楠坂40は？
11:35	E. garland	えぇ・・・
11:35	真っ黒フウ	え？
11:35	レッドウッドへいぽう	そうなの？
11:36	あむねこ	草
11:36	麻雀ビギナーしょーしょん	呼吸するな()
11:36	ロザエ	ええ...！？
11:36	ns zn	草
11:37	りんご田べる	流れるように麻雀
11:37	Cerulean	あのさぁ
11:37	どんぐり1986	麻雀やるのかｗ
11:39	馬宮太郎	草
11:39	% ショウ%	お
11:42	月十字	草
11:42	ちゅる	麻雀いいね
11:42	Astral Clover	草
11:42	職業訓練オヂサンの捨てふぁに	草
11:43	ななみさん	草
11:43	ShingoMk-Ⅱ	草
11:43	スパイラル	それが栞桜ちゃんでは？？
11:43	KA A	そうねｗ
11:43	うみとり	たしかに
11:43	由ゆう	ねるねるねーるねってお菓子あったなー
11:44	2002 Yukina_chan	草
11:44	カンザキシン	いいことやんｗ
11:44	TX11 D11	草
11:45	k y	草
11:45	sou ayaton	呼吸してけ～？ｗ
11:45	ちゃぼうず_cyabouzu	草
11:45	V沼ぼーるず	ハゲは楠坂に入れますか？？
11:46	柏君	草
11:46	昼行燈	気づきましたかｗ
11:46	鶏丸	草
11:46	りょ	あぺは
11:46	クレイ。	草
11:46	えむえむ	俺もびっくりした
11:46	ずん	急に麻雀は草
11:46	キャベツ	麻雀
11:47	leno nowhere	あんた麻雀始めると寝ないでしょあなた‼️
11:47	ちっそむし	草
11:47	SHINJI.K	草
11:47	serion	草
11:47	白詰草	草
11:47	杏【きょう】	斉藤用意しとき
11:48	ムラ	最近界隈で麻雀が盛り上がってますからね
11:48	フェルトツヴァイ	草
11:48	梶まーりん	流れるように麻雀
11:49	りんねん	ええんやで
11:49	パイライトテディ	楽しいからいいんだ
11:49	ちゃんちゃんしおしお	草
11:49	芋下きぬ	今は需要が高いからいいんじゃないかな
11:50	ぐぅたら	草
11:50	あぎだどら	ここ最近はまぁ仕方ない
11:50	ねこ	ええんやで
11:50	ぬゐ	ここ最近偏ったね
11:51	rapid eye rabbit	草
11:51	ろくじょう	草
11:51	グレブナー基底	草
11:51	横々	良いお父さんだ
11:51	Kudrjavka	やるのかｗ
11:51	桜茶	草
11:52	azukibeans	日向坂
11:52	タイフーン	どこかの先生よりは少ない
11:52	LOG	栞桜ちゃんが麻雀ばっかりなの珍しいよね
11:52	ちゃぼうず_cyabouzu	ええんやで
11:53	ばどらび	明日の漢気麻雀楽しみすぎて寝れません
11:53	桜夏	草
11:53	Orpheus1221	お、おう....
11:54	ポリィイイイ	雑談枠とはいったい・・・
11:54	ひっきー	麻雀は呼吸
11:54	si n	気にしなくていいよ
11:55	あまなつみかん	待ってるよ
11:55	まこだいあ	確かに
11:55	ようすけ	麻雀してる君が好き
11:55	Jippa	むしろいい
11:55	古鉄	イベント事も多かったしな
11:55	司-つかさ-	すきあらば麻雀
11:55	限界	でも
11:55	やまP	いいよー
11:56	れめれめ	草
11:56	ず!	麻雀が見たいからええんやで
11:56	01 Banshee	麻雀は対話
11:56	卜キサメ	最近波が来てるからねぇ
11:57	お前ら_	麻雀配信楽しいよ～
11:58	NiRV D	ニーアはいつ上がりますか
11:58	単騎待ち大好き	お？三色出すか？
11:59	765 ksk	ニーア2回で終わっちゃったしね
11:59	なーく	ここのところねｗ
11:59	logos2501	麻雀は呼吸
11:59	真っ黒フウ	呼吸だから仕方ないね
11:59	・しののん	麻雀楽しいからええやん
11:59	とりあたま	そう言えばニーアって動画できた？
11:59	ザッハトルテ。	好きなことしていって
11:59	30 SK	全然
12:00	ティフル	郡道ほどじゃない
12:00	どんぐり1986	どうぞ、お好きなことをなさってｗ
12:00	じぇのあ	麻雀好きなんで嬉しい
12:00	レッドウッドへいぽう	呼吸しとけ
12:01	山本たろう	やりたいことやればいいですよ
12:01	ふるーり	まぁここ最近大会や麻雀のお仕事ばかりだったからね
12:01	ぐぅたら	まあやりたいことやっててよき
12:02	sion354	呼吸開始
12:02	Takebon	まぁ、最近はね
12:02	マイケル	自己増殖するんかｗ
12:04	ユイ・ダレヤネン	草
12:04	日神巫言	今まで呼吸してなかったのか…
12:05	柏君	そうだな
12:05	限界	でも麻雀あるのかｗ
12:06	神原カリス	ええんやで
12:06	紫ユウキ	いいんだよ
12:06	ほんむぉぉぉ	流石マシン
12:06	shouwa man	雑談しながら麻雀するか、麻雀しながら雑談する
12:07	aタカ	明日もA卓メンバーで男気やるんでしたっけ
12:07	ryusay	雀鬼の呼吸
12:08	にあ001	雑談配信（麻雀配信）
12:08	Akiteru Fjimoto	いいぞー
12:08	横々	オートマタ見てまーす
12:08	うぶき	まあ需要と供給が合致してるわけだし
12:08	なんたらかんたら公太郎EX	ほっといたら麻雀するじゃん
12:08	〆作	案件も麻雀中心になっちゃうしな～
12:09	visions	雑談枠が麻雀枠だからなぁ
12:09	kazuhiro	好きな事喋る時、早口になるよね～本当に好きなんだね
12:09	やまぶどう	いつの間に引いたんだ
12:10	お前ら_	好きなことしてる栞桜ちゃんが大好きだからね 俺ら
12:10	司令_つかされい	コラボとか企画は麻雀多いからな
12:10	夜空ユウキ	呼吸始まった
12:11	アメペリック	楠は麻雀しないと倒れます？
12:11	白發中中中	息するように麻雀配信してる人のセリフじゃない
12:11	壊れるほど愛してたんだけど栞桜に10分の1も伝わらなかったべべっち	10萬人＆11萬人達成おめでとうございます！！いつまでもいつまでも夢を追いかけて、栞桜ちゃんワールドを拡げていこう！！(ハゲだけどブレイクダンスはできません)	￥500
12:11	、紅矢 「こうや」	こんばんは
12:11	飴あられ	ほっといたら増えるｗ
12:12	mo's!	たくさんイベントあったものね
12:12	みーや	安心と信頼の麻雀
12:12	暁宵	このあとは凸予定です？
12:13	sルーク	草
12:13	ダイダイモン	斎藤用意してて草
12:14	K Tony	てんほー？じゃんたま？
12:14	701便	斎藤準備済みｗｗｗ
12:15	桑原みー	麻雀やると叫ぶでしょアナタ
12:15	首都ブラジリア	今だからこそ麻雀よ
12:15	ひら野アマノ	界隈でも流行ってるし多少はね
12:15	k misawa	あれ参加するの？
12:15	月十字	ブームもきてるからね
12:15	ウーパーマン	草
12:15	serion	いつもの…麻雀
12:16	パイライトテディ	どんな編集するのかたのしみ～
12:16	花吹雪	イベントにコラボに大忙しだったもんね
12:17	嘘800	楽しみ
12:17	Alex Ross	ホラゲでもええんやで？
12:18	くろう	最近は引っ張りだこだったね
12:18	ダンデライオン	おおー
12:18	レモン	おー！
12:18	ひっきー	ぉぉーそっちも楽しみだー
12:19	帰宅RTA	おー早い！
12:19	ポリィイイイ	まだ東３局だから間に合わぬ・・・
12:19	Nights -O	楽しみだ！
12:19	春季限定のりしお風味	明日も明後日も麻雀だねぇ
12:20	チーズ牛丼	字幕までか大変だ
12:20	幽谷響	麻雀一色
12:20	21	がんばれー
12:20	豆腐DMT	好きな事やってるのが一番やで
12:20	天城久秀	字幕付けてるんだ！
12:20	Norn	雑談と思ってきました…
12:20	Kiichang	おすすめの全自動麻雀卓教えて下さい
12:20	のしろん	ニーア楽しみ
12:21	ほしりん	麻雀楽しいから好きよ
12:22	shimo 636	早いねー
12:22	やあけ	個人勢だと案件大事だからねえ
12:22	国士無双	天開さんへのリベンジのために、もっと強くなりましょう！	￥200
12:23	麻雀ビギナーしょーしょん	R F Aはどこやねん
12:23	琵琶丸	斎藤さんｗｗｗ郡道さんおお誕生日会ですかｗｗｗ
12:23	sakura mituki	おお、ニアも楽しみです。
12:27	エビ天	編集お疲れさま
12:27	天城久秀	プレミア公開される予定ありますか？
12:27	花吹雪	頑張って！
12:27	孤高の探索者	郡道先生の配信に参加する予定ですか？
12:29	チーズ牛丼	ニーア何分くらい？
12:30	花吹雪	ほー
12:31	Nights -O	ニーアめっちゃいいゲームだね
12:32	芋下きぬ	瀬戸内のメンバー声めっちゃ可愛かった
12:32	フラグクラッシャー	どのぐらいの長さになりそう？
12:33	右目のLapis	がんばりすぎないでね
12:34	暁宵	それは楽しみ
12:34	蓮	おお！ニーア楽しみ
12:35	ようすけ	斎藤祭り突撃するの？
12:35	帰宅RTA	めっちゃ楽しみ
12:36	姫ノ木あく	今だって同時に天鳳とか雀魂とかやってるに違いない
12:36	飛鳥	楽しみ
12:37	ノーマット	ぐんみちが大会終わってもずっと麻雀やってくれるのホント嬉しいんだ
12:38	ミントステーキ	ガタキリバするのか…
12:39	logos2501	ニア楽しみでござる
12:39	四季綾ノ乃	楽しみ！
12:40	雨宮恵	楽しみにしてる！
12:40	どんぐり1986	楽しみだな
12:41	お前ら_	ニア どうだった？
12:41	花吹雪	さぼ？
12:41	真珠	おおー
12:41	西都なつ	お？
12:41	パイライトテディ	いいねｗ
12:42	いざよいさくや	サボ
12:42	あのんまのんver.II	んん？
12:43	りょ	さんれんこう
12:43	帰宅RTA	サボ？
12:43	ばどらび	さぼ？
12:43	芋けんぴ	さぼ？
12:43	Jippa	ん？
12:43	カンザキシン	単発実況シリーズ的なのとか・・・どう？	￥200
12:43	トリウナギ	げふんげふん
12:43	ぐぅたら	サボ？
12:43	やまぶどう	さぼ？
12:44	_lili_	サボ……
12:44	ruska	草
12:44	mezzoforte	ん？
12:44	カマキリ星人	草
12:44	わんたん	草
12:44	鱈子明太子	サボ？
12:45	炭酸	さぼ
12:45	そにも	え？
12:45	やまP	さぼ・・・・
12:45	shu my	サボ？
12:46	Kiichang	SABO…？
12:46	shimo 636	草
12:46	春季限定のりしお風味	きょう斎藤フェスか。
12:46	rapid eye rabbit	プレミア公開たのしみ
12:46	順平	ん？
12:46	ザッハトルテ。	ん？
12:46	なーく	んん？？
12:47	ムームー	さぼ？
12:47	芋下きぬ	さぼ…？いいと思う
12:47	あまなつみかん	う、うん
12:48	30 SK	さぼ？
12:48	職業訓練オヂサンの捨てふぁに	さぼwww
12:48	蟹鮪三郎	このご時世、いま麻雀やらないでいつやるんだというところよ
12:48	たつた丸	さｂ
12:48	彩りの民	ん？w
12:48	たけどーら	さぼ…
12:49	くらまと	サボ…？
12:49	えびび大福	サボ……？
12:49	りんねん	草
12:49	なす	んん？
12:49	雨宮恵	さぼ？
12:49	スパイラル	そらは楽しみ
12:50	限界	じゃあ結構眺めかな？楽しみ！
12:50	桜花ありす	さぼ....
12:50	テーク	楽しみだ～
12:50	山田エミール	ん？
12:51	ノカゼ	ん？
12:51	司-つかさ-	草
12:51	ShingoMk-Ⅱ	さぼっw
12:51	Kingone	サボった日に？？
12:51	sa	さぼ？
12:52	Maha raja	やったぜ
12:53	たい焼き袋詰	ん？
12:53	さぁや	草
12:54	サナ	楽しみ！
12:54	嘘800	ん？
12:54	すしゅ	さぼ？
12:54	琵琶丸	さぼ・・・さぼ・・・？？
12:54	やあけ	休み言うて大丈夫ですよw
12:55	もかもか	さぼ・・・さぼ・・・
12:55	Akiteru Fjimoto	ん？
12:55	J PR	サボ……
12:56	mo's!	分身の術の使い手じゃったか…
12:57	めたるチクワ	草
12:57	ネムレス	サボｗ
12:57	朝来乃宮佐夜	何か言いかけたねぇ
12:58	暁宵	ん？
12:58	司令_つかされい	実況できる分いいかもな
12:59	ちっそむし	ん？
12:59	Z旗・ぜっとき	何だって？
12:59	Shouti受体	お大事に!	￥1,140
13:00	みーや	サボ…
13:00	りんほん	お、おう…
13:00	飛鳥	さぼ？
13:00	リベア	さぼ
13:00	なむ	サボ？
13:00	ごはん	サボるって言うた？？
13:00	カンザキシン	サボ・・・
13:01	春季限定のりしお風味	サボテン？
13:01	M・A・Oマオ	大丈夫です？
13:01	魔法使いアッラサー	さっき、おススメにあった、リスナーが床と言われる訳をみてきたんですが、今日は床に対して優しいんですねｗｗ
13:01	スパイラル	のど飴
13:01	神ノギ	何て？
13:01	むあーん。	サボテンダー！
13:01	ゆき	サボ？
13:01	いっちゃん	サボ？ワンピかな？
13:02	sim	のどの調子が
13:02	天城久秀	さぼ・・・？
13:02	年刊木材	ん？
13:02	Kudrjavka	さぼ…
13:04	グリヴェン	おお！楽しみ！
13:04	ザッハトルテ。	さぼさぼ
13:04	琵琶丸	ん？
13:05	Nights -O	のどがね…うん
13:05	ウーパーマン	サボテン？
13:05	豆腐DMT	サボ…？
13:05	いざよいさくや	喉の調子が
13:05	北傘	普通に休んでいいんだよ
13:06	チーズ牛丼	さぼ…さぼ…
13:06	leno nowhere	ｹﾎｹﾎさぼｹﾎｹﾎ
13:06	蒼。[あおっち]	さぼr・・・
13:06	ゆんゆん	今なんていいかけました？
13:06	彩りの民	さぼ…🤔
13:07	E. garland	少しはさぼってもええんやで
13:07	みやまちかげ	休みなら仕方ないな
13:07	くらつ	元から休みなら別にサボりでもないという
13:07	辻斬りロータ	もっとサボってもええんやで？
13:08	smile	サボテンダー？
13:08	鶏肉焼太郎	うん、んる
13:09	LOG	言っても動画編集時間かかるもんね…
13:09	ユイ・ダレヤネン	今日も可愛い
13:09	メイダイン	休んでいいんだからね！？
13:09	アトス	さぼさぼしてきた
13:10	エアヒット	ちゃんとお休みとって
13:12	にあ001	メンバーシップとかは作るんかな
13:13	鱈子明太子	逆に栞桜ちゃんサボりたいって思うのか？
13:13	mo's!	休んでもいいんじゃないかなｗ
13:14	なむ	喉大事にしてね
13:15	六花[リッカ]	のどの調子が悪いなら仕方ないね
13:16	暁宵	見た！
13:16	さらみらすく	こちらサボシ
13:17	なじー	休むなら休みっていえばいいのにｗ
13:17	花吹雪	みたよ！
13:18	sakura mituki	一瞬だけ来たねｗ
13:18	スパイラル	みたみた
13:18	あのんまのんver.II	配信できないならプレミア公開すればええんや！
13:18	K Tony	ちゃんと自主休講して
13:18	飲む牛乳	配信をサボテン
13:18	紅茶風ミックスゼリー	サンボ？
13:18	Akiteru Fjimoto	サボテンダーは草
13:19	ろっきー	ちょっとぐらいサボってええんやで
13:20	ソースキー	麻雀やりながら雑談？	￥200
13:20	ネコおやじ	眠そうだった
13:20	しおかの推し床フロンターレ	むしろサボって
13:20	いっちゃん	まかのん見たよ
13:20	ばどらび	そのキャスみたかったよーーーーーー！
13:21	フラグクラッシャー	言わなきゃバレないんですよ…
13:23	アメペリック	サポートって言いかけただけなんだよね？ｗ
13:23	701便	ほんのちょっとだぞ
13:24	由ゆう	痛々しいな
13:25	Westeria	作業中だったのにありがとね
13:25	帰宅RTA	草
13:25	kazuhiro	さぼ？ん？
13:25	なんたらかんたら公太郎EX	それはサボじゃなく普通に休みなんだよおお
13:25	須部理恵	ちゃんとさぼって
13:26	ななみさん	草
13:26	シューマイ,シャトルぱーそなる	サボテンダーの日か！
13:26	Yuji 08	もっと休んでもいいんよ
13:26	りんほん	草
13:26	タピオカパン	見た！
13:27	昼行燈	草
13:27	たつた丸	草
13:27	此処葉	草
13:27	いざよいさくや	草
13:27	CarMania E-NA1	さぼ…さぼ…
13:28	ザッハトルテ。	草
13:28	Kudrjavka	みたよー
13:28	ちっそむし	草
13:29	ひっきー	そんなことがｗ
13:29	キャットフィッシュ	草
13:32	21	草
13:32	あい	仲良くてよろしい
13:32	ばどらっく	草
13:32	とろろ	再登場しておやすみ～して終わって草だった
13:33	とろTak庵	草
13:33	rapid eye rabbit	それカットしなくてよくない！？
13:33	やまぶどう	まかのん中断
13:33	職業訓練オヂサンの捨てふぁに	草
13:34	琵琶丸	あらー
13:34	さみゅ	草
13:34	Nights -O	ポリポリ食べてた
13:35	雨劉	草
13:35	J PR	草
13:35	serion	草
13:35	なじー	草
13:35	帰宅RTA	しゃーない
13:35	T M	草
13:35	ちゃんちゃんしおしお	草
13:36	Astral Clover	草
13:36	あぎだどら	草
13:36	なむ	草
13:36	レモン	なるほどｗ
13:36	四季綾ノ乃	ありがとね？喉の調子悪かったのに
13:36	のりほしゅ	今起きた
13:36	桑原みー	まかのん電話してくるのね
13:36	お前ら_	ツイキャス栞桜ちゃんのアーカイブもあるしね
13:37	shimo 636	草
13:37	Akiteru Fjimoto	草
13:37	天城久秀	原稿やら忙しいでしょうし時々はさぼってください
13:38	紫ユウキ	草
13:39	大銀	しおかのてぇてぇ
13:40	うみにん	そんな裏話がｗ
13:40	〆作	草
13:40	レイザーRR	草
13:41	ばどしが	カット必要？ｗ
13:41	桜夏	草
13:42	テーク	ええんやで
13:42	いっちゃん	てぇてぇからセーフ
13:42	スパイラル	最後おやすみで帰ったやつ
13:42	りんほん	しおかのなら許すしかない
13:42	暁宵	ほんとに突発だったのかｗｗ
13:43	スーパーガク	むしろ通話乗せてくれていいぞ
13:43	ようすけ	カットしないで😠
13:43	グリヴェン	良き事だ
13:43	ひっきー	音声トラブル最初気づかなかったなぁ…
13:44	Ruka in	そこはそこで別に動画にしてよね
13:44	アメペリック	まぁ彼女はしょうがないｗ
13:45	あよ	むしろカットしないで
13:45	エバスグラブル勢	あのときかｗ
13:45	CIBO	そこカットしちゃダメじゃん
13:46	岩ネコ	むしろうれしい
13:46	mo's!	そんなことあったのねｗｗ
13:46	ムームー	ニーア進んだ？
13:46	したじきかぐや	会話垂れ流してください！！！！！
13:47	いざよいさくや	しおかのてぇてぇ
13:47	おたき	カットするな
13:47	ぬゐ	電話のところを残すのよね？
13:48	やまぶどう	邪魔してくる猫か
13:48	さーもばりっく あっと 大艦巨砲主義	サボる(休んではない)
13:49	ヨタ	ボトラーの話くらいしか記憶にない
13:49	山本たろう	せやね
13:49	えびび大福	むしろそこを動画に
13:49	Beep	むしろ入っててもいい
13:50	taka32 S	なるほど
13:50	天城久秀	カットしちゃったのか；；
13:50	のしろん	許さざるを得ない
13:50	れめれめ	草
13:50	NIHO UFO	草
13:50	はるめたる	てぇてぇ
13:51	V沼ぼーるず	それは撮れ高でしょ？w
13:51	西都なつ	良き良き
13:51	ゾイドゼロ	帰って来なかったね
13:51	月十字	電話音声入りでもいいのよ
13:51	sa	草
13:51	アトス	みたｗ
13:52	にーね	そこをカットするとはもったいない
13:52	black AYANE	マイペースでいいよｗ
13:52	首都ブラジリア	サボも大事よ
13:52	卜キサメ	まかフラ助かる
13:53	ちっそむし	草
13:53	はんぺん	3周目は配信でやってくれてもええんやで？
13:53	醤油砂糖	休みたいときに休んでもらって
13:54	エビ天	てぇてぇ
13:54	帰宅RTA	時々サボって
13:54	ミポポ	トーストに何つけるのが好き？
13:54	春季限定のりしお風味	さきにねてしまった～
13:54	だあでん	そこはそのままのせて
13:54	くぅくぅ	無編集であげろ
13:55	カンザキシン	ええやんｗ
13:55	ばどらび	明日の漢気麻雀目標何狙いですか？
13:55	やっさん	さぼりなのか？ｗ
13:55	Nights -O	まぁのんびりな
13:56	パイライトテディ	カットや字幕の入れ方参考にしますね
13:56	日神巫言	言った
13:57	横々	そのまま流してもいいんやで
13:57	あむねこ	草
13:58	じゃがまきぃ	いいんじゃね？
13:58	雨宮恵	まかのん喜んでたからよし
13:58	tora tora	なんでカットするんですか？
13:59	rapid eye rabbit	ときどきさぼって
13:59	おたき	ちゃんとサボって
13:59	孤高の探索者	お疲れでしたからね
13:59	シヴァ村卯月	サボってええんやで
13:59	ちゃぼうず_cyabouzu	休養はちゃんと取ってくれたほうが嬉しい
14:00	わんたん	程よくサボっていきましょう
14:00	単騎待ち大好き	原稿さぼろう
14:00	mo's!	戦士の休息ですよ
14:00	ろっきー	ちゃんとサボれ
14:00	司令_つかされい	サボるのも大事だ
14:00	ザッハトルテ。	ときどきサボっていけ
14:00	あよ	どんどんさぼって
14:00	調律	ええんやで
14:00	gk _y	大事
14:01	ひら野アマノ	昨日はお疲れ具合だけはよく分かった
14:01	ダンデライオン	ええよ
14:02	グリヴェン	自分のペースで大丈夫だよ
14:03	メイダイン	いや、ちゃんと休んでいいんだからね
14:03	roll	もっとサボしていいで
14:03	おおくそん	ときどきサボるくらいの心持ちがええ
14:04	レッドウッドへいぽう	そこが見せ場やろがい！
14:05	ローズマリー	さぼり、だいじ
14:06	sa	そこもアップして
14:06	辻斬りロータ	もっとちゃんとサボれ
14:06	昼行燈	適度に力抜けててえらい
14:06	ShingoMk-Ⅱ	全然かまわないよ
14:07	とりあたま	まあ配信できない日もあるだろうし
14:07	サナ	適度にサボってよき
14:08	タピオカパン	ちゃんと休んでるならそれでもいいけど
14:08	レモン	サボると人間味が増すので是非
14:09	法条裕一	積極的にサボっていこう
14:09	ひっきー	NG集にでも…ｗ
14:10	6th iPodder	無理しないで休んで
14:10	朝来乃宮佐夜	適度に休んで
14:10	黒乃メロ	寝息ＡＳＭＲまだですか
14:10	モジャンヌ	仕事できる人はサボりが上手いんだよねえ
14:10	Westeria	無理せずに長続きしないとね
14:10	Maha raja	適度にサボるんやで
14:10	LOG	ちゃんと休むときは休んでもらって
14:11	TX11 D11	適度なサボりはいいもんですよ
14:11	21	時々サボるくらいじゃないと頑張り過ぎそうだしそれでいいよ
14:11	NIHO UFO	そこはそこで別動画で出して
14:11	とろTak庵	サボらずちゃんと休んでｗ
14:12	ねるねる	サボるために動画編集してるから実質働いてるんだよなぁ…
14:12	夜空ユウキ	サボってもいいのよ
14:14	くりみなる	多少サボるのは大事
14:14	スパイラル	サボるのも大事
14:14	とろろ	そこだけ切り抜きして動画作ってくれてもいいよ
14:14	ずん	サボるんじゃない！休みたい時に休みな！
14:15	神原カリス	言っちゃうの草
14:15	Yuji 08	無理しないで
14:15	mezzoforte	サボってええんやぞ
14:15	ラーゲ	そこだけ切り取って動画にしよう
14:16	留学生ベン君	おサボり大事よ
14:16	なんたらかんたら公太郎EX	サボらんと普通の休みでええやろ
14:17	缶こーひー	適度にサボってけ
14:17	あのんまのんver.II	時々ってことはなんぼかに分けて動画出すの？
14:18	レッドウッドへいぽう	ディレクターカット版でみせて
14:18	日神巫言	ちゃんとサボれｗ
14:20	ロザエ	はやくみたいよ～～～！
14:20	春季限定のりしお風味	みたい～
14:20	豆腐DMT	サボも大事よ
14:21	もぐら	休むでいいんじゃない同じだよ
14:21	みーや	いき抜きは大事
14:21	leno nowhere	健康のために間日は空けてね
14:21	Astral Clover	サボりは大事よ
14:21	serion	適度にサボってええよ
14:22	テーク	3D楽しみすぎる…！
14:22	Ryo	早くみたいなー
14:22	GIGA	休日は大事
14:23	スパイラル	公開予定日は？
14:24	logos2501	早く見たいよ～
14:24	辻斬りロータ	それは早く見たい
14:24	roll	やっぱりサボだめ寂しい
14:24	やあけ	普通に休みは休みとしてくれれば
14:25	あい	早く見たい
14:26	あまなつみかん	（みたい...）
14:26	古鉄	むしろ休み無さ過ぎたら逆に心配するわｗ
14:26	ぐぅたら	私も早く見たいわ
14:26	雨宮恵	早く見たいねえ
14:26	琵琶丸	自営業者は休日も自分で設定しませんと。休むのも大切ですものね
14:26	白詰草	楽しみすぎる
14:26	コルータ	もう少しさぼってくれないとリスナーの家庭が危険で危ない
14:27	西都なつ	こっちも早く見たいよ
14:28	いざよいさくや	3D楽しみすぎる
14:28	rapid eye rabbit	待ち遠しいねー
14:29	司-つかさ-	見たーい
14:29	21	よき
14:29	どんぐり1986	うん、見たいね、ゆっくり待ってます
14:29	ななみさん	もうちょっとだね
14:30	彩りの民	楽しみだな～(*´ω｀*)
14:30	ばどしが	早く見たいわ
14:30	しおかの推し床フロンターレ	楽しみだけどもサボって
14:30	ことかげ	はやくみてぇー
14:31	グリーンピース	みてぇなー
14:31	帰宅RTA	はよ見たい〜
14:31	真っ黒フウ	みたい〜
14:31	うみにん	早く見たい...！
14:31	サナ	見たい
14:31	Akiteru Fjimoto	サボりじゃなくお休みと捉えよう
14:31	キミカン	楽しみ
14:32	visions	調子悪い時はゆっくり休んでもろて
14:32	あのんまのんver.II	こっちも早く見たいー！
14:32	月刊アフロ	楽しみッす
14:32	shimo 636	ｗｋｔｋ
14:33	かえるライダー	またいね
14:33	暁宵	見たいですね～
14:33	レモン	楽しみだなぁ！
14:33	春季限定のりしお風味	ルイスの新衣装もかわいかった
14:33	なじー	見たいー！
14:34	芋下きぬ	早く見たいし髪型気になる
14:34	セミの抜け殻	見たいいいいい＾＾
14:35	sakura mituki	楽しみにして待つよ！
14:35	フラグクラッシャー	まぁ逆に毎日配信出来る人がすごすぎる
14:35	トリウナギ	たまにはほどほどに休もう 休めたらゆるりと進もう
14:36	かえるライダー	みたいね
14:37	sim	さぞかわいいんでしょうね
14:37	なむ	こっちだって早く見たいんじゃ！
14:37	調律	すっげー楽しみ
14:39	たい焼き袋詰	楽しみ！
14:40	あおい	見たい〜〜！！
14:40	みのる	見たくて仕方が無い日々を送ってるよ
14:40	ひっきー	楽しみにしてる栞桜ちゃんを見てると、どんどん期待が膨らむ
14:40	朝来乃宮佐夜	またトレンド入りするかな？
14:40	ShingoMk-Ⅱ	楽しみ！
14:40	雨の宿り木	こっちも早く見たい
14:40	ぶんた	３
14:41	エビ天	僕らも見たいけど我慢する日々を送っている
14:43	もるぽん	6月末までなかなか待ち遠しい
14:44	shu my	早く見たい
14:45	ユイ・ダレヤネン	ガチ恋になった者です。少額ですが受け取ってください…！	￥200
14:45	鶏だしクリーミィ	活動してるよ
14:45	ぬまなま4693	たまにはサボってもらわないとこっちが困る
14:46	ことかげ	結構活動してますね。
14:46	司令_つかされい	ほぼ毎日だぞ
14:46	しおかの推し床フロンターレ	めっちゃしてるよな
14:46	ぽーとぴあ	めっちゃがんばってるわ
14:46	やまP	頑張ってるよ
14:47	Jippa	囁き助かる
14:47	アメペリック	サボり信者が増えとるｗｗ
14:47	北傘	結構どころではない
14:47	kazuhiro	二人が喋ってるの聴くの好き
14:47	765 ksk	いや、相当やぞ
14:47	じぇのあ	働きすぎて心配なる
14:47	ななみさん	そうだね
14:48	なーく	いっぱい頑張ってると思うよｗ
14:48	ns zn	かわいい
14:48	パイライトテディ	大分活動しているよなぁ
14:48	とろろ	うんうん、たくさん会えてうれしい
14:48	mo's!	ほぼ毎日活動してるよねｗｗｗ
